Datetime,Average Funding Rate
2023-04-19 01:00:00+00:00,0.001895654
2023-04-20 01:00:00+00:00,0.000694248
2023-04-21 01:00:00+00:00,4.95e-05
2023-04-22 01:00:00+00:00,-0.000830805
2023-04-23 01:00:00+00:00,-0.00081594
2023-04-24 01:00:00+00:00,-0.001281387
2023-04-25 01:00:00+00:00,-0.000229775
2023-04-26 01:00:00+00:00,-0.000145123
2023-04-27 01:00:00+00:00,0.000579596
2023-04-28 01:00:00+00:00,0.000440627
2023-04-29 01:00:00+00:00,2.54e-05
2023-04-30 01:00:00+00:00,0.000267819
2023-05-01 01:00:00+00:00,-2.01e-05
2023-05-02 01:00:00+00:00,0.000620724
2023-05-03 01:00:00+00:00,0.000498678
2023-05-04 01:00:00+00:00,0.000842088
2023-05-05 01:00:00+00:00,0.00065541
