fundingRate,APR,perp,day
-0.0035883272366095697,-1.309739441362493,ETH,2023-03-05 16:00:00.000 UTC
-0.0035646506146531703,-1.3010974743484072,ETH,2023-03-11 13:00:00.000 UTC
-0.003563467867713541,-1.3006657717154424,ETH,2023-03-03 20:00:00.000 UTC
-0.0035543400730841785,-1.2973341266757252,ETH,2023-03-11 21:00:00.000 UTC
-0.003553742803594652,-1.297116123312048,ETH,2023-03-06 06:00:00.000 UTC
-0.0035256268645884625,-1.286853805574789,ETH,2023-03-11 22:00:00.000 UTC
-0.0034878983234485246,-1.2730828880587115,ETH,2023-03-11 12:00:00.000 UTC
-0.0034868591799363277,-1.2727036006767596,ETH,2023-03-11 23:00:00.000 UTC
-0.003468913897043504,-1.266153572420879,ETH,2023-03-06 07:00:00.000 UTC
-0.003458516212514629,-1.2623584175678397,ETH,2023-03-05 15:00:00.000 UTC
-0.003437732383686641,-1.254772320045624,ETH,2023-03-12 00:00:00.000 UTC
-0.0034236896607533684,-1.2496467261749795,ETH,2023-03-02 03:00:00.000 UTC
-0.0034146014351345596,-1.2463295238241143,ETH,2023-03-06 08:00:00.000 UTC
-0.0033952706783205956,-1.2392737975870174,ETH,2023-03-11 11:00:00.000 UTC
-0.003383365836252401,-1.2349285302321262,ETH,2023-03-12 01:00:00.000 UTC
-0.0033654046686043943,-1.2283727040406038,ETH,2023-03-05 14:00:00.000 UTC
-0.0033416720380877404,-1.2197102939020252,ETH,2023-03-06 09:00:00.000 UTC
-0.0033378475863982716,-1.218314369035369,ETH,2023-03-12 02:00:00.000 UTC
-0.003337797623736826,-1.2182961326639414,ETH,2023-03-11 10:00:00.000 UTC
-0.003290049017300216,-1.200867891314579,ETH,2023-03-12 10:00:00.000 UTC
-0.003289586526312336,-1.2006990821040027,ETH,2023-03-12 03:00:00.000 UTC
-0.0032873571118508696,-1.1998853458255674,ETH,2023-03-12 09:00:00.000 UTC
-0.003287017189666195,-1.1997612742281611,ETH,2023-03-12 11:00:00.000 UTC
-0.0032831119950277937,-1.1983358781851448,ETH,2023-03-12 12:00:00.000 UTC
-0.00327710140335848,-1.1961420122258453,ETH,2023-03-12 08:00:00.000 UTC
-0.003275989816568484,-1.1957362830474967,ETH,2023-02-09 20:00:00.000 UTC
-0.003272669684011146,-1.1945244346640682,ETH,2023-03-12 07:00:00.000 UTC
-0.0032652009198312925,-1.1917983357384219,ETH,2023-03-12 06:00:00.000 UTC
-0.0032650786195236453,-1.1917536961261306,ETH,2023-02-09 21:00:00.000 UTC
-0.0032624417031858104,-1.1907912216628207,ETH,2023-03-11 09:00:00.000 UTC
-0.00326201633218776,-1.1906359612485324,ETH,2023-03-12 05:00:00.000 UTC
-0.003260294810771801,-1.1900076059317075,ETH,2023-03-12 04:00:00.000 UTC
-0.0032570233625298906,-1.1888135273234102,ETH,2023-03-12 13:00:00.000 UTC
-0.0032550470416805454,-1.188092170213399,ETH,2023-03-06 10:00:00.000 UTC
-0.003245347148639405,-1.1845517092533828,ETH,2023-02-10 18:00:00.000 UTC
-0.0032329992772163786,-1.180044736183978,ETH,2023-02-10 17:00:00.000 UTC
-0.0032267856959683054,-1.1777767790284315,ETH,2023-02-10 19:00:00.000 UTC
-0.003221428732085172,-1.175821487211088,ETH,2023-03-05 13:00:00.000 UTC
-0.0032141755357878647,-1.1731740705625706,ETH,2023-02-10 16:00:00.000 UTC
-0.0031985085211799196,-1.1674556102306706,ETH,2023-02-10 21:00:00.000 UTC
-0.0031983225470121777,-1.1673877296594448,ETH,2023-02-10 20:00:00.000 UTC
-0.00319654490500125,-1.1667388903254563,ETH,2023-03-12 14:00:00.000 UTC
-0.0031960039669361806,-1.166541447931706,ETH,2023-02-09 22:00:00.000 UTC
-0.003189076629385509,-1.1640129697257107,ETH,2023-02-09 19:00:00.000 UTC
-0.0031859565445117566,-1.1628741387467911,ETH,2023-03-06 11:00:00.000 UTC
-0.0031748253945373854,-1.1588112690061456,ETH,2023-02-10 15:00:00.000 UTC
-0.003173280647007261,-1.1582474361576502,ETH,2023-03-12 15:00:00.000 UTC
-0.0031641962321193313,-1.154931624723556,ETH,2023-03-11 08:00:00.000 UTC
-0.0031634166383804024,-1.154647073008847,ETH,2023-03-02 02:00:00.000 UTC
-0.0031605267080945256,-1.1535922484545018,ETH,2023-02-10 22:00:00.000 UTC
-0.003151551464585054,-1.1503162845735446,ETH,2023-03-03 21:00:00.000 UTC
-0.00313635304678268,-1.1447688620756782,ETH,2023-03-12 16:00:00.000 UTC
-0.0031354844349719786,-1.144451818764772,ETH,2023-03-06 12:00:00.000 UTC
-0.003135357039405408,-1.144405319382974,ETH,2023-02-09 23:00:00.000 UTC
-0.003131850284803194,-1.1431253539531658,ETH,2023-02-10 14:00:00.000 UTC
-0.003119673935141711,-1.1386809863267244,ETH,2023-02-10 23:00:00.000 UTC
-0.003109490422126512,-1.1349640040761768,ETH,2023-03-05 12:00:00.000 UTC
-0.0030979761380390035,-1.1307612903842363,ETH,2023-02-10 00:00:00.000 UTC
-0.003087532354340052,-1.126949309334119,ETH,2023-02-10 01:00:00.000 UTC
-0.0030825456506541945,-1.125129162488781,ETH,2023-02-10 04:00:00.000 UTC
-0.0030818522273681837,-1.124876062989387,ETH,2023-02-10 03:00:00.000 UTC
-0.00308088654991167,-1.1245235907177595,ETH,2023-02-10 02:00:00.000 UTC
-0.003078060961946777,-1.1234922511105736,ETH,2023-02-11 00:00:00.000 UTC
-0.0030762449370373237,-1.1228294020186231,ETH,2023-03-12 17:00:00.000 UTC
-0.003070963088458898,-1.1209015272874978,ETH,2023-02-10 13:00:00.000 UTC
-0.003055438026781259,-1.1152348797751594,ETH,2023-02-10 05:00:00.000 UTC
-0.0030527446079040114,-1.1142517818849642,ETH,2023-03-06 13:00:00.000 UTC
-0.003045138649632387,-1.1114756071158214,ETH,2023-02-11 01:00:00.000 UTC
-0.0030294668868749266,-1.1057554137093482,ETH,2023-03-11 07:00:00.000 UTC
-0.0030253721279216044,-1.1042608266913856,ETH,2023-02-10 06:00:00.000 UTC
-0.003023851236383215,-1.1037057012798734,ETH,2023-02-11 02:00:00.000 UTC
