fundingRate,APR,perp,day
-0.008563954990367866,-3.125843571484271,BTC,2023-03-02 14:00:00.000 UTC
-0.008444291245761727,-3.0821663047030303,BTC,2023-03-03 15:00:00.000 UTC
-0.008366448223246593,-3.0537536014850066,BTC,2023-03-02 13:00:00.000 UTC
-0.008185971831227387,-2.9878797183979966,BTC,2023-03-03 16:00:00.000 UTC
-0.008056473689597995,-2.9406128967032683,BTC,2023-03-02 12:00:00.000 UTC
-0.007820919374415604,-2.8546355716616953,BTC,2023-03-02 11:00:00.000 UTC
-0.007803276733201173,-2.8481960076184283,BTC,2023-03-03 17:00:00.000 UTC
-0.007581636792500106,-2.7672974292625385,BTC,2023-03-02 10:00:00.000 UTC
-0.007543321730817667,-2.7533124317484483,BTC,2023-03-03 18:00:00.000 UTC
-0.007247090799340534,-2.645188141759295,BTC,2023-03-02 09:00:00.000 UTC
-0.007208408355302732,-2.631069049685497,BTC,2023-03-03 19:00:00.000 UTC
-0.006867950035357173,-2.506801762905368,BTC,2023-03-03 20:00:00.000 UTC
-0.006853494125132551,-2.501525355673381,BTC,2023-03-02 08:00:00.000 UTC
-0.006559152188427171,-2.3940905487759174,BTC,2023-03-02 07:00:00.000 UTC
-0.006534353179666264,-2.3850389105781864,BTC,2023-03-03 21:00:00.000 UTC
-0.006345819327020014,-2.3162240543623054,BTC,2023-03-02 06:00:00.000 UTC
-0.006246926723268034,-2.2801282539928325,BTC,2023-03-03 22:00:00.000 UTC
-0.00591387403275925,-2.158564021957126,BTC,2023-03-03 23:00:00.000 UTC
-0.005879828459008929,-2.1461373875382592,BTC,2023-03-02 05:00:00.000 UTC
-0.005731910154012785,-2.0921472062146664,BTC,2023-03-02 04:00:00.000 UTC
-0.005623266699052678,-2.0524923451542274,BTC,2023-03-04 00:00:00.000 UTC
-0.005340729034505705,-1.9493660975945826,BTC,2023-03-04 01:00:00.000 UTC
-0.005253507275110463,-1.917530155415319,BTC,2023-03-11 19:00:00.000 UTC
-0.005237479021291359,-1.911679842771346,BTC,2023-03-11 20:00:00.000 UTC
-0.005232617168298528,-1.9099052664289626,BTC,2023-03-11 18:00:00.000 UTC
-0.005211998871419038,-1.902379588067949,BTC,2023-03-11 21:00:00.000 UTC
-0.0051890259195277,-1.8939944606276107,BTC,2023-03-02 03:00:00.000 UTC
-0.005164446311726715,-1.885022903780251,BTC,2023-03-11 22:00:00.000 UTC
-0.005153457502940536,-1.8810119885732957,BTC,2023-03-11 17:00:00.000 UTC
-0.005123393800841603,-1.870038737307185,BTC,2023-03-11 23:00:00.000 UTC
-0.005090631162000825,-1.8580803741303011,BTC,2023-03-12 00:00:00.000 UTC
-0.005073079915216804,-1.8516741690541334,BTC,2023-03-04 02:00:00.000 UTC
-0.005063076552846494,-1.8480229417889702,BTC,2023-03-11 16:00:00.000 UTC
-0.005048548575171427,-1.842720229937571,BTC,2023-03-12 01:00:00.000 UTC
-0.005002276656149276,-1.8258309794944858,BTC,2023-03-02 02:00:00.000 UTC
-0.00500122429270895,-1.825446866838767,BTC,2023-03-12 02:00:00.000 UTC
-0.00499824236005141,-1.8243584614187645,BTC,2023-03-12 03:00:00.000 UTC
-0.004984540568341853,-1.8193573074447762,BTC,2023-03-12 04:00:00.000 UTC
-0.004963884919372335,-1.8118179955709024,BTC,2023-03-11 15:00:00.000 UTC
-0.004953867955412169,-1.8081618037254419,BTC,2023-03-12 05:00:00.000 UTC
-0.004916580745880202,-1.7945519722462735,BTC,2023-03-12 06:00:00.000 UTC
-0.004877131453367474,-1.7801529804791278,BTC,2023-03-12 07:00:00.000 UTC
-0.004866274762597653,-1.7761902883481433,BTC,2023-03-11 14:00:00.000 UTC
-0.004844739087589469,-1.7683297669701563,BTC,2023-03-12 08:00:00.000 UTC
